location,placement,url
South Windsor,counter,https://www.yemenicorner.ca/products/yemeni-corner-harraz-signature-roast?utm_source=cafe&utm_medium=qr&utm_campaign=coffee_bean_launch&utm_content=south_windsor_counter
South Windsor,receipt,https://www.yemenicorner.ca/products/yemeni-corner-harraz-signature-roast?utm_source=cafe&utm_medium=receipt&utm_campaign=coffee_bean_launch&utm_content=south_windsor_receipt
South Windsor,cup_sleeve,https://www.yemenicorner.ca/products/yemeni-corner-harraz-signature-roast?utm_source=cafe&utm_medium=sleeve&utm_campaign=coffee_bean_launch&utm_content=south_windsor_sleeve
LaSalle,counter,https://www.yemenicorner.ca/products/yemeni-corner-harraz-signature-roast?utm_source=cafe&utm_medium=qr&utm_campaign=coffee_bean_launch&utm_content=lasalle_counter
LaSalle,receipt,https://www.yemenicorner.ca/products/yemeni-corner-harraz-signature-roast?utm_source=cafe&utm_medium=receipt&utm_campaign=coffee_bean_launch&utm_content=lasalle_receipt
LaSalle,cup_sleeve,https://www.yemenicorner.ca/products/yemeni-corner-harraz-signature-roast?utm_source=cafe&utm_medium=sleeve&utm_campaign=coffee_bean_launch&utm_content=lasalle_sleeve
